Isolate,Lat,Long,Pop,,,
08MG02,-28.844605,29.054547,GPL,,,
08MG05,-33.73075378,18.97246775,GPL,,,
DB8-4,-28.760278,28.896389,CAPE,,,
MC94,-22.901675,30.696089,GPL,,,
MCT8,-33.73075378,18.97246775,GPL,,,
MG1,-28.844605,29.054547,CAPE,,,
MG3,-27.682836,29.57863,GPL,,,
MG4,-33.73075378,18.97246775,GPL,,,
MG8,-23.85,30.033333,GPL,,,
SA-EC1,-28.91356,19.0014167,GPL,,,
SA-NC1,-28.91356,19.0014167,GPL,,,
SA-NC10,-28.69598,17.597361,GPL,,,
SA-NC2,-28.69598,17.597361,GPL,,,
SA-NC3,-28.91356,19.0014167,GPL,,,
SA-NC4,-28.91356,19.0014167,GPL,,,
SA-NC5,-28.91356,19.0014167,GPL,,,
SA-NC6,-28.73725,19.299222,GPL,,,
SA-NC7,-28.73725,19.299222,GPL,,,
SA-NC8,-28.69598,17.597361,GPL,,,
SA-NC9,-28.69598,17.597361,GPL,,,
SA152,-29.39124,29.73853,CAPE,,,
SA186,-29.45001,29.52471,CAPE,,,
SA190,-29.45001,29.52471,CAPE,,,
SA1d,-28.71986,28.92375,CAPE,,,
SA211,-29.60708,29.35532,CAPE,,,
SA243,-29.69575,29.4129,CAPE,,,
SA266,-29.74601,29.20829,CAPE,,,
SA280,-29.74601,29.20829,CAPE,,,
SA286,-29.74601,29.20829,CAPE,,,", "
SA3e,-29.8343044,30.83428363,CAPE,,,
SA499,-29.0682,23.79704,GPL,,,
SA4c,-29.8343044,30.83428363,CAPE,,,
SA523,-29.0682,23.79704,GPL,,,
SA546,-29.0682,23.79704,CAPE,,,
SA5c,-29.8343044,30.83428363,CAPE,,,
SA6e,-29.8343044,30.83428363,CAPE,,,
SAEC-6,-30.72189,26.9064555,GPL,,,
SAEC-7,-30.72189,26.9064555,GPL,,,
SAFS-1,-28.75064,28.871361,CAPE,,,
SAKN-1,-28.752306,28.894361,CAPE,,,
SAKN-4,-28.7198056,28.92361111,CAPE,,,
SAKN-5,-28.7198056,28.92361111,CAPE,,,
SAKN-6,-28.7198056,28.92361111,CAPE,,,
AC040803_A ,-8.575,35.851389,KIHANSI,,,
AC290703_A2,-8.575,35.851389,KIHANSI,,,
